,ID,Link,Title,Sponsor,Description,Petitioning,Letter,Signatures,Victory
0,3405145.0,https://www.change.org/p/caetano-veloso-gilberto-gil-cancelem-vosso-show-em-israel-cancel-your-concert-in-israel,Cancelem vosso show em Israel   Cancel your concert in Israel,Tropicália não combina com apartheid,"(English below) Queridos Caetano e Gil, 
 Com admiração ao trabalho de vocês e seu histórico de comprometimento com lutas pela liberdade, justiça e igualdade, pedimos que cancelem vosso show em Israel, previsto para 28 de julho. A data coincide com o aniversário de um ano dos ataques de Israel a Gaza, nos quais mais de 2 mil palestinas e palestinos foram mortos, incluindo mais 500 crianças. Ainda hoje, mais de 100 mil pessoas seguem desabrigadas em decorrência da ofensiva. 
 Tocar em Israel é endossar políticas e práticas racistas, coloniais e de apartheid -ilegais sob o direito internacional. Ademais, o governo israelense apresenta os shows em Israel como um sinal de aprovação a suas políticas. Israel viola sistematicamente o direito internacional ao impedir o retorno dos refugiados palestinos, ao colonizar e ocupar a Cisjordânia e a Faixa de Gaza e ao discriminar sistematicamente os palestinos cidadãos de Israel. As políticas discriminatórias de Israel também se manifestam contra refugiados e migrantes africanos: recentemente milhares de etíopes foram brutalmente reprimidos ao protestarem contra o racismo no país. 
 Nosso pedido faz coro ao chamado de artistas e da sociedade civil palestina para que artistas não se apresentem em Israel. Entre aqueles que responderam a esse chamado, cancelando seus shows no país, estão Lauryn Hill, Roger Waters (Pink Floyd), Snoop Dog, Carlos Santana, Cold Play, Lenny Kravitz e Elvis Costello. 
 O arcebisbo sul-africano Desmond Tutu, Nobel da Paz, é um importante apoiador desse chamado e explica que apresentar-se em Tel Aviv é errado “assim como dissémos que era inapropriado para artistas internacionais tocarem na África do Sul durante o apartheid, em uma sociedade fundada em leis discriminatórias e exclusividade racial”. Se apresentar em Israel seria como fazer um show em Sun City na Africa do Sul do apartheid. 
 Não ignorem esse chamado. Tropicália não combina com apartheid! 
  -- 
 Dear Caetano and Gill, 
 With admiration to your work and historical commitment with struggles for justice, freedom and equality, we ask you to cancel your concert in Tel Aviv, scheduled for July 28. July will mark the one year anniversary of the Israeli attacks against Gaza during which Israel killed more than 2,000 Palestinians, including over 500 children. More than 100,000 remain homeless due to these attacks. 
 Performing in Israel serves as a stamp of approval for Israel’s illegal racist, colonial and apartheid policies. The Israeli government portrays concerts in Israel as a sign of support for its policies. Israel systematically violates international law: it prevents Palestinian refugees from returning to their homes, it colonises and occupies the West Bank and Gaza, and it systematically discriminates against Palestinian citizens of Israel. And it’s not just Palestinians that face Israeli oppression: thousands of Ethiopian migrants were recently brutally repressed for protesting against racism in Israel. 
 Our request echoes Palestinian artists and civil society, who are calling for artists not to perform in Israel. Artists that have answered this call include Lauryn Hill, Roger Waters (Pink Floyd), Snoop Dog, Carlos Santana, Cold Play, Lenny Kravitz and Elvis Costello. 
 The South African Nobel Prize winner, archbishop Desmond Tutu, who is an important supporter of the Palestinian call for boycott, has explained that performing in Tel Aviv is wrong, “just as we said during apartheid that it was inappropriate for international artists to perform in South Africa in a society founded on discriminatory laws and racial exclusivity”. Performing in Israel today is the equivalent of performing in Sun City South Africa during the apartheid era. 
 Do not ignore this call. Supporting apartheid isn’t the Tropicalia way!",Petitioning  Caetano Veloso,,13463.0,0.0
1,3967540.0,https://www.change.org/p/house-of-reps-protect-israel-from-the-bad-iran-nuclear-deal,Protect Israel from the bad Iran nuclear deal,Citizens for a Nuclear Free Iran,"If we allow the Iran nuclear deal to get through Congress, it will mean serious danger for Israel. Once the deal’s provisions end, Iran will be just weeks away from developing nuclear weapons that could reach Israel. Tell your member of Congress to reject the bad nuclear deal with Iran! 
  ",Petitioning  U.S. House of Representatives,,59350.0,0.0
2,3659279.0,https://www.change.org/p/bon-jovi-bon-jovi-boycott-israel,"Bon Jovi, Boycott Israel",PACBI The Palestinian Campaign for the Academic and Cultural Boycott of Israel,"World renowned band, Bon Jovi, is scheduled to perform in Israel on October 3rd. We ask the members of the band,  Jon Bon Jovi, David Bryan, and Tico Torres, to reconsider their concert in apartheid Israel, until Israel complies with international law and respects the rights of the indigenous Palestinian people.",Petitioning  bon jovi,,5093.0,0.0
3,1475699.0,https://www.change.org/p/uk-supermarkets-boycott-produce-of-israel-illegal-settlement-goods,Boycott Israel & Illegal Settlement Goods,Kajsa Anckarström,"We are a collective of people who stand for human rights, we are customers who shop at Supermarkets and we call upon them to respect ethical & moral values we call upon these supermarkets to respect human rights and cease trading with Israel. Why? to apply pressure on Israel to comply with basic principles of justice and international law in regards to its illegal settlements, its daily violations of human rights and denial of Palestines right to self determination.  UK Supermarkets when you trade with Israel you are not only funding Israels economy but also rewarding apartheid policies, encouraging Illegal settlement activities & prolonging the occupation of Palestine. There are many alternative suppliers in europe so why trade with a state complicit in grave human rights violations?  UK Supermarkets stop funding apartheid, occupation & the daily violation of human rights in Palestine, as a corporation you have a duty of responsibility to do what is right, to stand by human rights and trade ethically, why risk damaging your reputation ? Be ethical be moral stand on the right side of history Apartheid was not acceptable in South Africa what makes it right in Palestine?    Boycott Israel.",Petitioning Managing Director Aldi UK Mr Matthew Barnes,,9332.0,0.0
4,3711487.0,https://www.change.org/p/war-on-want-israel-palestinian-children-2,STOP ISRAEL KILLING PALESTINIAN CHILDREN,War on Want,"Israel’s attacks on Gaza last year killed over 500 children. UK-made arms and military technologies continue to be sold to and used by the occupying Israeli forces. Join War on Want to tell the British government to STOP ARMING ISRAEL. 
   
 Pictures- Copyright  Details-Some rights reserved 
 1. Picture  
 Original source link 
 Credit: Basel Al Yazouri 
 Licence link 
 2. Stop Israeli Crimes: how many children did you kill today. 
 Original source link 
 Credit : Takber (John Englart) 
 Licence link",Petitioning  The British Government,,8747.0,0.0
5,1835845.0,https://www.change.org/p/bbc-trust-organise-debate-on-israel-palestine-coverage,Organise debate on Israel-Palestine coverage,Palestine Legal Action Network,"We are concerned at the very partial nature of BBC reporting on the Israeli-Palestinian conflict.  While some reporters have shown great bravery in war zones, much home-based journalism lacks context and is unable to report the Palestinian perspective. The attacks on Gaza are presented by Israel and the BBC as being directed at militants, while for Palestinians they are an extension of military rule and collective punishment by a brutal apartheid state. 
 This inability to report the reality of the Israeli occupation has been repeatedly shown by academic studies and reports, including that led by  Quentin Thomas , commissioned by the BBC, which noted the ""failure to convey adequately the disparity in the Israeli and Palestinian experience, reflecting the fact that one side is in control and the other lives under occupation"", and said: ""In short, we found that BBC output does not consistently give a full and fair account of the conflict."" (Thomas, 2006: 4-7) The BBC has failed to act on any of these findings. 
 The search for peace is not well served by giving the public such a partial and limited view.  We ask now that the BBC produce a televised, public debate to discuss how to redress the deficiencies in its coverage to offer a better account of the sources of this conflict and therefore how it might be resolved. 
 Original signatories: 
   
 Professor Greg Philo 
 Professor Avi Shlaim 
 Professor John Eldridge 
 Professor Natalie Fenton 
 Professor Julian Petley 
 Professor Ilan Pappe 
 Professor John Dugard 
 Professor Etienne Balibar 
 Professor Graham Murdoch 
 Professor Justin Lewis 
 Professor David Miller 
 Professor Alan Riach 
 Professor Hilary Rose 
 Professor Steven Rose 
 Professor Gilbert Achcar 
 Professor Karma Nabulsi 
 Sir Peter Bottomley MP 
 Linda Riordan MP 
 Jim Fitzpatrick MP 
 Michael Connarty MP 
 David Ward MP 
 John McDonnell MP 
 Jeremy Corbyn MP 
 Grahame Morris MP 
 Caroline Lucas MP 
 Mark Durkan MP 
 Yasmin Qureshi MP 
 Andrew Slaughter MP 
 Barones Jenny Tonge 
 Christine Grahame MSP 
 Jean Urquhart MSP 
 Neil Findlay MSP 
 P.J Harvey 
 Juliet Stevenson 
 Roger Waters 
 Alice Walker 
 Breyten Breytenbach 
 Mike Leigh 
 Ken Loach 
 John Pilger 
 Trevor Griffiths 
 Mairead Maguire 
 Dennis Halliday       
 Bella Freud 
 Frank Barat 
 Mustapha Barghouti 
 Ghada Karmi 
 Gerda Stevenson 
 Pam Parsons 
 Mike Berry 
 Aimee Shalan 
 Hugh Lanning 
 Shamiul Joarder 
 Diana Buttu 
 Linda Ramsden 
 Jeff Halper 
 Hatim Kanaaneh 
 Paul Laverty 
 John Hilary",Petitioning  BBC Trust,"Organise debate on Israel-Palestine coverage We are concerned at the very partial nature of BBC reporting on the Israeli-Palestinian conflict. While some reporters have shown great bravery in war zones, much home-based journalism lacks context and is unable to report the Palestinian perspective. The attacks on Gaza are presented by Israel and the BBC as being directed at militants, while for Palestinians they are an extension of military rule and collective punishment by a brutal apartheid state. This inability to report the reality of the Israeli occupation has been repeatedly shown by academic studies and reports, including that led by Quentin Thomas, commissioned by the BBC, which noted the ""failure to convey adequately the disparity in the Israeli and Palestinian experience, reflecting the fact that one side is in control and the other lives under occupation"", and said: ""In short, we found that BBC output does not consistently give a full and fair account of the conflict."" (Thomas, 2006: 4-7) The BBC has failed to act on any of these findings. The search for peace is not well served by giving the public such a partial and limited view. We ask now that the BBC produce a televised, public debate to discuss how to redress the deficiencies in its coverage to offer a better account of the sources of this conflict and therefore how it might be resolved. Original signatories:   Professor Greg Philo Professor Avi Shlaim Professor John Eldridge Professor Natalie Fenton Professor Julian Petley Professor Ilan Pappe Professor John Dugard Professor Etienne Balibar Professor Graham Murdoch Professor Justin Lewis Professor David Miller Professor Alan Riach Professor Hilary Rose Professor Steven Rose Professor Gilbert Achcar Professor Karma Nabulsi Sir Peter Bottomley MP Linda Riordan MP Jim Fitzpatrick MP Michael Connarty MP David Ward MP John McDonnell MP Jeremy Corbyn MP Grahame Morris MP Caroline Lucas MP Mark Durkan MP Yasmin Qureshi MP Andrew Slaughter MP Barones Jenny Tonge Christine Grahame MSP Jean Urquhart MSP Neil Findlay MSP P.J Harvey Juliet Stevenson Roger Waters Alice Walker Breyten Breytenbach Mike Leigh Ken Loach John Pilger Trevor Griffiths Mairead Maguire Dennis Halliday       Bella Freud Frank Barat Mustapha Barghouti Ghada Karmi Gerda Stevenson Pam Parsons Mike Berry Aimee Shalan Hugh Lanning Shamiul Joarder Diana Buttu Linda Ramsden Jeff Halper Hatim Kanaaneh Paul Laverty John Hilary",12554.0,1.0
6,1467008.0,https://www.change.org/p/beyonce-don-t-play-apartheid-israel,Don't Play Apartheid Israel,Angélica Becerra,"We ask Beyoncé to stand on the side of justice and cancel her concert in Tel Aviv, Israel. She is scheduled to play to a segregated audience in Israel on June 15, 2014, the venue has not been confirmed. This boycott is ""inspired by the struggle of South Africans against apartheid and in the spirit of international solidarity, moral consistency and resistance to injustice and oppression."" Israel is a persistent violator of international law and has failed to respect fundamental human rights. She has recently used the words of feminist best-selling author Chimamanda Ngozi Adichie in her song ""***Flawless"", most notably the following excerpt: ""Feminist: a person who believes in the social political, and economic equality of the sexes."" If Beyoncé believes in the social and political equality of the sexes, she cannot perform in a country where Palestinian women and men alike are not given the opportunity to access social, poltiical and economic equality under occupation. Until  Israel ends its occupation and oppression of the people of Palestine we ask you, as a person of conscience and a philanthropist, not to play in Israel. Beyoncé, please join us now in the cultural boycott of Israel, and help stop entertaining apartheid. 
 Haaretz article announcing Beyoncé's plans to play in Israel this June: 
 http://www.haaretz.com/news/national/1.580179 
   
 ""The question of Palestine is thus an urgent question of a just and equitable future that is both specific to this context and to this people, and a general and paradigmatic global concern. To take a stand in solidarity with and to be involved in the struggle of Palestinians to resist and transform the conditions of their own dispossession and disposability – to join in their aspiration for collective freedom and self-determination – is also to participate in the remaking of global life, which cannot but be a paramount feminist act."" -  Neferti X. M. Tadiar 
   
 Article from Feminist Wire:  Why The Question of Palestine is a Feminist Concern 
 What is Boycott, Divestment and Sanctions (BDS) - an intro  http://www.bdsmovement.net/bdsintro   
 What is cultural boycott?  http://www.pacbi.org/etemplate.php?id=1047 
 *From Robin D. G. Kelley: Letter from a West Bank Refugee Camp  http://www.usacbi.org/2013/06/robin-d-g-kelley-letter-from-a-west-bank-refugee-camp/    
 A statement from many prominent Black activists, writers, and academics affirming the use of the Jim Crow analogy in the case of the Palestine/ Israel context  http://www.endtheoccupation.org/article.php?id=3626 
  ",Petitioning  Beyonce,"Cancel your concert in Apartheid Israel!  We ask Beyoncé to stand on the side of justice and cancel her concert in Tel Aviv, Israel. She is scheduled to play to a segregated audience in Israel on June 15, 2014 , the venue has not been confirmed. This boycott is ""inspired by the struggle of South Africans against apartheid and in the spirit of international solidarity, moral consistency and resistance to injustice and oppression."" Israel is a persistent violator of international law and has failed to respect fundamental human rights. Until Israel ends its occupation and oppression of the people of Palestine I ask you, as a person of conscience and a philanthropist, not to play in Israel. Beyoncé, please join now in the cultural boycott of Israel, and help stop entertaining apartheid.",2783.0,0.0
7,3117371.0,https://www.change.org/p/facebook-remove-the-death-to-israel-community-organisation-facebook-page,"Remove the ""Death To Israel"" community organisation Facebook page",jacqui griffiths,"After many people complained about a Facebook community page named ""Death to Israel"" they concluded that it did not violate their community standards; 
 We reviewed your report of Death to Israel مرگ بر اسرائیل “Thank you for taking the time to report something that you feel may violate our Community Standards. Reports like yours are an important part of making Facebook a safe and welcoming environment. We reviewed the Page you reported for containing graphic violence and found it doesn't violate our Community Standards.” 
 The following are reasons why a page would be removed: 
 Facebook removes hate speech, which includes content that directly attacks people based on their: 
 Race, Ethnicity, National origin, Religious affiliation, Sexual orientation, Sex, gender, or gender identity, or Serious disabilities or diseases. 
 Organizations and people dedicated to promoting hatred against these protected groups are not allowed a presence on Facebook. As with all of our standards, we rely on our community to report this content to us. 
 So after many people complained to no avail, we now present this petition that Facebook should not have double standards, and that it should remove this Facebook community page as it clearly does incite violence against the Jewish State of Israel. 
 https://www.facebook.com/Death.to.Israel 
  ",Petitioning  Facebook,,15521.0,0.0
8,1488430.0,https://www.change.org/p/cornell-university-student-assembly-reject-boycott-of-israel,Reject Boycott of Israel!,Cornell Community,"We, the undersigned, are members and friends of the Cornell University community who support peace, diversity, justice, and human rights, and strongly oppose the anti-Israel Boycott, Divestment and Sanctions (“BDS”) Movement. 
 We want to express our deep concern over Resolution 72 “Resolution Urging Cornell University to Divest from Companies Profiting from Israeli Occupation and Human Rights Violations” that is being discussed by the Student Assembly on Thursday, April 10, 2014.  This resolution is inaccurate and intentionally inflammatory in title and: 
 
 1. Significantly hinders efforts to achieve a just and lasting peace between Israel and the Palestinians, 
 2. Undermines academic freedom and Cornell’s continued interest in collaboration with Israeli academic institutions such as the Technion, 
 3. And delegitimizes and promotes misinformation about Israel.   
 
 Perhaps, most importantly, this resolution, and the greater BDS movement, singles out the Jewish State, whose human rights record compares favorably to other democracies, while turning the world’s attention away from great injustices and human rights violations, including genocide. 
 We, proponents of peace and Cornellians against BDS, urge members of the Cornell Student Assembly to oppose this resolution, which punishes both Israelis and Palestinians, reinforces dangerous stereotypes that limit mutual understanding and cooperation, and divides the Cornell campus community.",Petitioning Cornell University Cornell University Student Assembly,,1663.0,0.0
9,4041472.0,https://www.change.org/p/israeli-pm-benjamin-netanyahu-israel-stop-importing-european-calves-to-torture,Israel: STOP Importing European Calves To Torture.,Omri Hussain,"Every year Israel imports tens of thousands of unwanted dairy calves from Hungary, Romania, and Lithuania. After enduring the horrific ordeal of being separated from their mothers, these calves are sent on seemingly never ending journeys to reach Israel.  Many die a long and slow death en route.  They pass from one country to another in Europe before being loaded onto ships destined for Israel.  Every step of their journey involves beatings, freezing or hot weather, hunger and cruel handling.  
 Although the European Union has evidence that calves from its member states are being cruelly treated, and endure journeys that break the law, it does nothing.  The lucky ones are the ones that die en route. Once in Israel many calves cross the border into Gaza.  Calves are fattened up in appalling conditions before being sent off to slaugherhouses that are hell on earth. The link below will give you more information about this vile and immoral trade. 
 http://action.ciwf.org.uk/ea-action/action?ea.client.id=119&ea.campaign.id=41392&ea.tracking.id=05bb9ddb 
 I want the Israeli Prime Minister to impose an immediate long-term ban on calves from the European Union.  Israel cannot call itself a civilised nation until it bans all live imports from the EU.  Israel this is a disgrace and we want this to stop now.  These crimes against innocent new-born creatures must stop today.",Petitioning  Israeli PM Benjamin Netanyahu,,4823.0,0.0
